,title,score
18274,Divinity: Original Sin -- Enhanced Edition,4.5
18276,Dirt Rally,4.45
18283,Disgaea 5: Alliance of Vengeance,4.35
18285,NBA Live 16,3.0
18290,Just Cause 3,2.95
18292,Batman: Arkham Knight -- Catwoman's Revenge,3.0
18293,Tom Clancy's Rainbow Six Siege,3.95
18298,Rock Band 4,4.4
18299,Tony Hawk's Pro Skater 5,1.75
18304,Bloodborne: The Old Hunters,4.0
18310,Sword Art Online: Lost Song,3.0
18311,Uncharted: The Nathan Drake Collection,4.5
18313,NBA 2K16,4.5
18314,LEGO Dimensions,3.85
18316,Skylanders SuperChargers,4.0
18330,Guitar Hero Live,3.95
18331,Assassin's Creed Syndicate,4.1
18336,FIFA 16,3.9
18343,Tales of Zestiria,3.9
18345,Dragon Quest Heroes,3.1
18346,Wasteland 2: Director's Cut,4.25
18349,Darkest Dungeon,4.55
18352,The Witness,5.0
18355,Plants vs. Zombies: Garden Warfare 2,4.1
18359,Destiny: The Taken King,4.5
18362,NHL 16,3.9
18364,Pro Evolution Soccer 2016,4.75
18366,One Piece: Pirate Warriors 3,3.45
18368,Disney Infinity: 3.0 Edition,4.45
18371,Dishonored: Definitive Edition,4.0
18378,Transformers: Devastation,3.85
18381,Tharsis,2.4
18388,Far Cry Primal,3.95
18393,Street Fighter V,4.0
18396,Dragon Age: Inquisition -- Trespasser,3.5
18402,Rugby World Cup 2015,0.75
18403,Tearaway Unfolded,3.8
18406,Mega Man Legacy Collection,4.5
18407,Madden NFL 16,4.4
18409,Until Dawn,3.75
18420,Naruto Shippuden: Ultimate Ninja Storm 4,2.75
18424,Firewatch,4.65
18427,Unravel,4.15
18430,Mad Max,4.2
18433,Metal Gear Solid V: The Phantom Pain,5.0
18436,Gauntlet: Slayer Edition,3.55
18439,Volume,4.05
18441,Hardware: Rivals,2.75
18442,Amplitude,3.5
18446,LEGO Marvel's Avengers,3.35
18448,Dragon Age: Inquisition -- The Descent,3.15
18449,Galak-Z,4.15
18453,FIFA 17,4.2
18454,NBA 2K17,4.45
18458,BioShock: The Collection,4.1
18461,Dead Rising Triple Pack,3.25
18463,Pro Evolution Soccer 2017,4.75
18473,Assetto Corsa,3.0
18483,TrackMania Turbo,4.2
18487,Ratchet & Clank,4.5
18488,Dead Star,3.55
18494,EA Sports UFC 2,3.2
18498,Tom Clancy's The Division,3.35
18500,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2.45
18506,Enter the Gungeon,4.25
18507,Dark Souls III,4.75
18511,Inside,5.0
18513,Umbrella Corps,1.9
18515,Mighty No. 9 (Collector's Edition),2.8
18519,Hitman: Episode 1,3.95
18521,Heavy Rain,3.75
18526,Uncharted 4: A Thief's End,4.5
18527,Valkyria Chronicles Remastered,4.5
18530,MLB The Show 16,4.65
18536,Mighty No. 9,2.8
18538,Trials of the Blood Dragon,3.45
18542,Mirror's Edge Catalyst,3.4
18550,Battleborn,3.55
18553,The Park,3.5
18558,Hitman: Episode 3,3.0
18561,Dead Island: Definitive Collection,3.5
18562,Odin Sphere Leifthrasir,4.75
18564,One Piece: Burning Blood,3.25
18566,Hitman: Episode 2,4.25
18573,Overwatch,4.7
18576,Worms WMD,3.9
18577,Attack on Titan,3.65
18579,King of Fighters XIV,4.0
18584,Valley,2.5
18587,F1 2016,4.4
18590,Deus Ex: Mankind Divided,4.6
18593,I Am Setsuna,3.75
18594,Kerbal Space Program,4.5
18601,Hitman: Episode 4,3.7
18604,Madden NFL 17,4.3
18605,No Man's Sky,3.0
18608,Carmageddon: Max Damage,2.7
18610,Song of the Deep,3.0
18617,Abzu,4.2
18621,LEGO Star Wars: The Force Awakens,4.5
18622,Star Ocean: Integrity and Faithlessness,2.9
